schema_version,mode,held_out_domain,config,seed,status,task_scope,best_epoch,selection_metric,best_dev_micro_f1,dev_loss,dev_micro_precision,dev_micro_recall,dev_micro_f1,dev_macro_f1,dev_rare_category_recall,test_loss,test_micro_precision,test_micro_recall,test_micro_f1,test_macro_f1,test_rare_category_recall,train_size,dev_size,test_size,trainable_params,training_time_sec,device,artifact_dir,completed_at
3,crossdomain,hotel,weighted,777,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.23989493652414998,3.3146701610727445,0.1650271029913672,0.4391025641025641,0.23989493652414998,0.1091060634654753,0.03896103896103896,2.875199491727098,0.09992652461425422,0.2504604051565378,0.14285714285714285,0.01022790536987037,0.0,7541,1878,584,109662186,1047.0570397377014,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\weighted\seed_777,2026-09-18T15:04:02.994305+00:00
3,crossdomain,laptop,standard,13,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.3530135301353014,1.7640609161560963,0.39207650273224043,0.32102908277404923,0.3530135301353014,0.12101926917226388,0.0,0.6658630812027074,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1083.6569728851318,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\standard\seed_13,2026-09-18T04:04:26.971210+00:00
3,crossdomain,laptop,standard,42,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.34354688950789236,1.784797786223177,0.38461538461538464,0.3104026845637584,0.34354688950789236,0.10545484568141648,0.0,0.6582933581184507,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1051.0660133361816,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\standard\seed_42,2026-09-18T15:21:58.144757+00:00
3,crossdomain,laptop,standard,123,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.3645200486026731,1.8020752935979334,0.39893617021276595,0.33557046979865773,0.3645200486026731,0.11837070951077662,0.0,0.6444227039238201,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1047.745290517807,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\standard\seed_123,2026-09-18T15:39:52.548501+00:00
3,crossdomain,laptop,standard,2024,complete,single-pair-aligned-explicit-aspect,4,dev_complete_triplet_micro_f1,0.346563981042654,1.7909544602154266,0.36838790931989923,0.3271812080536913,0.346563981042654,0.11303736502451112,0.0,0.6720862638079935,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1044.2878370285034,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\standard\seed_2024,2026-09-18T15:57:42.153548+00:00
3,crossdomain,laptop,standard,777,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.3587716631194892,1.7514775257313664,0.3930712858094604,0.32997762863534674,0.3587716631194892,0.12720996388985836,0.0,0.6839787326037651,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1044.9317195415497,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\standard\seed_777,2026-09-18T16:15:31.428370+00:00
3,crossdomain,laptop,weighted,13,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.2494344744382446,2.72214739717073,0.17076192442700805,0.46252796420581654,0.2494344744382446,0.13126497238469334,0.09259259259259259,0.8366142340591968,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1079.2490298748016,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\weighted\seed_13,2026-09-18T04:22:54.709367+00:00
3,crossdomain,laptop,weighted,42,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.25994855500075653,2.6990988269550305,0.1781788010786144,0.4804250559284116,0.25994855500075653,0.13445965431397341,0.1111111111111111,0.836883536012532,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1044.413661956787,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\weighted\seed_42,2026-09-18T16:33:21.990724+00:00
3,crossdomain,laptop,weighted,123,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.24558223833257814,2.7412111386974645,0.16821849782743636,0.4546979865771812,0.24558223833257814,0.13283945963082092,0.05555555555555555,0.8498099905781333,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1045.2359957695007,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\weighted\seed_123,2026-09-18T16:51:11.421440+00:00
3,crossdomain,laptop,weighted,2024,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.249925617375781,2.6595607370866383,0.17024726388325903,0.4697986577181208,0.249925617375781,0.12990274886943745,0.05555555555555555,0.8603112085670921,0.0,0.0,0.0,0.0,0.0,7532,1860,532,109612970,1051.5445075035095,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\laptop\weighted\seed_2024,2026-09-18T17:09:10.657368+00:00
